id,countryCode,name,city,address,postalCode,latitude,longitude,updated,comment
8287,LV,Lidl (Latvijas Pasts),Rīga,Lāčplēša iela 76,LV-1011,56.948211122,24.133679174,2026-03-12 12:51:08.977,
9177,EE,Torupilli Selver,Tallinn,Vesivärava 37,10152,59.4324213,24.7800156,2026-03-12 10:48:07.289,
9185,EE,Selver Hiiumaa,Linnumäe,Rehemäe, Linnumäe küla, Hiiumaa,92422,58.98964581,22.7639121,2026-03-12 16:58:29.349,
2904,LT,Gulbelė,Užventis,Kražių g. 11,86345,55.7811,22.65301,2026-03-05 09:49:29.067,
8114,LV,Maxima,Jūrmala,Dārzkopības iela 19,LV-2010,56.974986,23.854115,2026-03-12 19:09:58.032,
8110,LV,Maxima,Daugavpils,Smilšu iela 98A,LV-5410,55.889280,26.553594,2026-03-12 19:09:05.186,
9192,EE,Keila keskus,Keila,Harju tn 2,76607,59.316302479,24.410522998,2026-03-06 08:18:32.155,
9179,EE,Merimetsa Selver,Tallinn,Paldiski mnt. 53,10614,59.430375890,24.697392303,2026-03-12 18:43:32.104,
9187,EE,Pelgulinna Selver,Tallinn,Sõle tn 51,10318,59.444896495,24.700463390,2026-03-12 18:45:01.26,
0270,LT,Norfa,Kaunas,R. Kalantos g. 76,52364,54.892875,23.996807,2026-03-02 12:00:18.654,
0277,LT,IKI,Kaunas,Brastos g. 28,47185,54.90,23.88,2026-03-05 13:48:21.661,
9184,EE,Valdeku Selver,Tallinn,Vabaduse pst 54b,11615,59.381535631,24.700924551,2026-03-12 19:00:28.158,
9183,EE,Ülejõe Selver,Pärnu,Tallinna mnt. 93a / Roheline tn 80,80041,58.408501720,24.493959048,2026-03-12 18:46:09.911,
0806,LT,Skaudvilės prekyba,Skaudvilė,Tauragės g. 15,73437,55.405967,22.579214,2026-02-23 08:44:27.06,
9166,EE,Tähesaju Selver,Tallinn,Tähesaju tee 1,13917,59.442045186,24.849577715,2026-03-12 18:46:52.388,
9180,EE,Kakumäe Selver,Tallinn,Rannamõisa tee 6,13516,59.428308508,24.626618015,2026-03-12 18:48:28.032,
9165,EE,Aardla Selver,Tartu,Võru tn 77,50112,58.357609239,26.721468689,2026-03-12 18:47:57.872,
3403,LT,Merkinės seniūnija,Merkinė,Gardino g. 1,65334,54.162743,24.18586,2026-02-23 16:06:45.481,
9178,EE,Kadaka Selver,Tallinn,Kadaka tee 56a, Tallinn,12915,59.412526711,24.667385313,2026-03-12 18:52:54.761,
9176,EE,Vahi Selver,Tartu,Vahi tn 62,50304,58.401752170,26.720764231,,
8095,LV,Maxima,Aizpute,Kalvenes iela 11,LV-3456,56.717253,21.610201,2026-03-12 19:07:49.804,
8195,LV,Zaļenieki Top (Latvijas Pasts),Zaļenieki,Centra iela 7,LV-3011,56.526380037,23.510657053,2026-02-06 11:47:57.051,
8194,LV,Olaine Rimi (Latvijas Pasts),Olaine,Stacijas iela 8,LV-2114,56.785880659,23.943302645,2026-02-06 11:48:33.604,
8190,LV,Jelgava TC Pilsētas Pasāža (Latvijas Pasts),Jelgava,Driksas iela 4,LV-3001,56.650928249,23.724098723,2026-02-06 11:51:08.415,
8274,LV,Rimi (Latvijas Pasts),Rīga,Augusta Deglava iela 100,LV-1082,56.948592087,24.186909523,2026-02-13 16:04:31.152,
8241,LV,Lidl (Latvijas Pasts),Rīga,Ķīšezera iela 8,LV-1014,56.992810072,24.167183578,2026-02-13 16:37:57.963,
8197,LV,Daugavpils Lielā iela Labais (Latvijas Pasts),Daugavpils,Lielā iela 44,LV-5418,55.865483819,26.502984173,2026-02-06 11:51:56.737,
9167,EE,Raasiku Konsum,Raasiku,Tallinna mnt 19,75203,59.369767013,25.182400213,,
8285,LV,Tallinas iela (Latvijas Pasts),Rīga,Tallinas iela 66B,LV-1009,56.957910060,24.144730663,2026-02-13 17:19:11.919,
8284,LV,Imantas tirgus (Latvijas Pasts),Rīga,Kurzemes prospekts 3,LV-1067,56.956335427,24.036682613,2026-02-13 16:41:51.73,
8283,LV,Rimi (Latvijas Pasts),Ikšķile,Peldu iela 2,LV-5052,56.832192306,24.490849532,2026-02-04 09:21:06.983,
3304,LT,Gulbelė,Kudirkos Naumiestis,Tilto g. 11,71318,54.7757,22.8643,,
2805,LT,Aibė,Smalininkai,Nemuno g. 32,74224,55.0736,22.5840,2026-02-23 15:20:51.645,
8122,LV,Alba,Viļāni,Raiņa iela 23,LV-4650,56.545794,26.925125,2026-01-20 10:49:40.598,
1009,LT,Žeimių seniūnija,Žeimiai,Kauno g. 47,55384,55.180,24.220,2026-01-19 08:38:13.112,Paštomatas stovi prie fasado ir matomas iš Kauno gatvės.
8282,LV,Pilsētas dome (Latvijas Pasts),Grobiņa,Lielā iela 76,LV-3430,56.535082623,21.169590610,2026-02-06 12:13:35.569,
9175,EE,Kalda Maxima,Tartu,Kalda tee 15,50703,58.3713152,26.76273578,2026-02-06 13:27:14.281,
9174,EE,Anne Maxima,Tartu,Anne tn 57,50703,58.37515121,26.7563631,2026-02-06 13:27:06.281,
9173,EE,Viimsi Maxima,Haabneeme,Pargi tee 22,74001,59.50524,24.82940,2026-02-06 13:26:50.898,
1008,LT,Kultūros centras,Šveicarija,Pergalės g. 17A,55302,55.044,24.257,2026-01-16 11:17:19.099,
0024,LT,PC Pikas,Vilnius,Ukmergės g. 221,07156,54.7147,25.2489,,
3204,LT,Swedbank,Prienai,Vytauto g. 33,59124,54.6348,23.9462,,
8106,LV,Top,Dagda,Daugavpils iela 6,LV-5674,56.095727,27.539351,2026-01-22 15:50:04.627,
9163,EE,Muraste Konsum,Muraste,Lee tee 1,76905,59.455010125,24.444089498,2026-01-01 12:30:09.043,Paštomatas stovi dešinėje įėjimo į parduotuvę pusėje.
9171,EE,Maxima Astangu,Tallinn,Astangu 27a,13519,59.40516900,24.638344515,2026-02-06 13:26:32.362,
9168,EE,Haabersti Rimi,Tallinn,Haabersti tn 1,13516,59.424976586,24.645139794,2026-02-06 13:25:39.059,
9164,EE,Juri Konsum,Jüri,Aruküla tee 29,75301,59.35831541,24.912436326,2026-02-06 13:25:25.798,
1810,LT,AIBĖ,Kūlupėnai,Mokyklos g. 3,97335,55.9609,21.47729,2026-01-13 13:13:04.821,
8123,LV,Lats,Līči,Rīgas iela 19,LV-2118,56.947737,24.359271,2026-01-01 12:30:05.603,Siuntų automatas yra lauke, dešinėje nuo įėjimo.
9172,EE,Keemikute Maxima,Maardu,Keemikute 2,74111,59.473732100,25.019325969,2026-02-06 13:26:40.847,
0276,LT,Čia Market,Kaunas,Šiaurės pr. 47,49200,54.9305,23.95761,2026-03-05 13:48:13.594,
1809,LT, Prekybos aikštė,Darbėnai,Vytauto g. 2,97264,56.0238,21.2571,2026-01-08 10:53:15.69,
8281,LV,Rucava Centra dzirnavas (Latvijas Pasts),Rucava,Centra dzirnavas,LV-3477,56.158460389,21.161494311,2026-02-06 12:13:25.084,
8120,LV,Lats,Daugavpils,Šūņu iela 7,LV-5422,55.899508,26.518036,2026-01-01 12:30:05.594,Siuntų automatas yra lauke, kairėje nuo įėjimo.
9170,EE,Põhja Rimi super,Tallinn,Põhja pst 17,10414,59.444262642,24.742804489,2026-02-06 13:26:04.196,
0275,LT,PC Vaišvydava,Kaunas,Piliuonos g. 32,45481,54.8517,24.0226,2026-01-01 12:30:02.567,Paštomatas stovi prie pastato sienos ir matomas iš Dubravų gatvės pusės.
0009,LT,Lidl,Vilnius,Mokslininkų g. 11B,08466,54.75468,25.26045,2026-01-01 12:30:00.824,Paštomatas stovi prekybos centro vidinėje-antžemininėje automobilių parkavimo aikštelėje.
8119,LV,Top,Malta,1. maija iela 79A,LV-4630,56.347960,27.164834,2026-01-01 12:30:05.59,Siuntų automatas yra lauke. Nuo įėjimo už kairiojo kampo.
1606,LT,RIMI,Ukmergė,Vytauto g. 60,20111,55.254,24.776,2026-01-01 12:30:03.708,Paštomatas stovi prie įėjimo. Matomas nuo Vytauto g.
0274,LT,IKI,Kaunas,Savanorių pr. 111,44146,54.904798,23.916334,2026-01-01 12:30:02.557,Paštomatą rasite prie šiaurinės pastato sienos iš Kanklių g. pusės
9169,EE,Jannseni Maxima,Tallinn,Vabaduse pst 128,10918,59.373348591,24.664927737,2026-02-06 13:25:50.756,
